Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
05/26/2022,1226,1,35,245,270,255,146,146,83,50,31,0,678,542,6,274,90,259,332,70,201,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,4,2,4,4,6,8,6,0,17,18,0,6,2,16,8,3,0
01/30/2022,426,14,38,102,78,73,66,28,39,24,16,0,235,190,1,88,32,55,148,27,76,0,0,1,1,0,4,4,4,0,7,7,0,4,0,7,3,0,0,1,2,6,0,4,8,6,11,0,17,21,0,8,1,11,15,3,0
05/12/2021,341,6,31,68,74,71,44,43,20,19,2,0,196,145,0,83,17,157,45,8,31,0,0,0,1,0,1,3,1,0,4,2,0,0,0,6,0,0,0,0,3,4,4,8,7,3,2,0,17,14,0,9,1,16,3,1,1
07/28/2020,332,3,18,36,87,75,66,33,19,9,7,0,185,145,2,159,11,79,51,8,24,0,0,0,1,0,0,1,1,0,1,2,0,0,0,2,1,0,0,1,2,7,3,2,1,1,1,0,12,6,0,8,0,8,2,0,0
06/08/2022,1038,0,28,238,202,222,148,106,58,40,24,0,603,431,4,246,77,214,280,74,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,3,3,7,0,18,10,0,4,1,15,8,0,0
05/10/2021,399,6,35,103,66,72,67,50,29,7,5,0,217,182,0,84,19,181,69,10,36,1,0,0,1,0,0,2,2,0,4,2,0,0,0,5,1,0,0,0,2,2,9,11,7,2,2,0,20,15,0,4,0,27,1,2,1
06/26/2020,219,13,29,18,60,49,29,26,17,11,9,0,121,98,0,74,5,54,55,6,25,0,0,1,2,0,0,4,6,0,6,7,0,1,0,5,7,0,0,2,0,3,2,5,8,4,5,0,11,17,1,6,2,15,3,1,2
07/05/2020,90,3,16,7,29,19,14,11,8,2,0,0,54,35,1,27,0,24,22,9,8,0,0,0,1,1,1,0,0,0,0,3,0,1,0,1,1,0,0,0,2,1,4,3,2,1,3,0,5,11,0,6,1,6,3,0,0
10/02/2022,175,2,21,20,32,18,23,20,29,15,18,0,98,77,0,34,15,49,43,12,22,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,2,2,0,3,5,4,5,0,9,12,0,2,3,8,6,2,0
09/01/2022,641,1,32,157,80,125,84,86,49,33,27,0,367,273,1,176,36,177,149,32,71,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,5,5,3,10,7,0,15,17,0,8,1,10,11,1,1
10/08/2020,612,3,26,82,181,116,68,83,55,19,8,0,311,301,0,250,18,90,175,21,58,0,0,0,2,0,0,0,1,0,2,1,0,0,1,1,1,0,0,0,4,1,2,3,8,2,6,0,15,11,0,4,1,13,5,2,1
03/31/2022,305,0,11,52,80,79,38,23,17,12,4,0,168,134,3,37,28,24,133,36,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,3,1,0,5,6,0,1,0,5,5,0,0
09/04/2020,395,2,21,61,102,82,53,38,33,16,10,0,206,188,1,193,12,71,91,10,18,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,3,3,2,4,5,0,14,7,0,10,1,9,1,0,0
05/14/2020,779,45,131,49,167,150,133,110,96,43,31,0,399,372,8,377,15,180,88,27,92,1,0,4,1,5,5,7,22,0,22,23,0,13,4,21,6,1,0,2,7,9,16,18,39,26,14,0,55,76,0,49,4,50,18,7,3
11/10/2021,592,2,19,163,133,119,70,39,39,15,14,0,303,287,2,94,13,147,170,54,114,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,2,2,2,5,3,4,0,8,11,0,3,0,7,7,1,1
01/28/2023,179,0,24,33,23,31,23,22,24,16,7,0,108,71,0,54,5,54,47,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,6,6,5,0,14,10,0,4,0,10,9,0,1
12/05/2021,511,8,64,106,96,90,81,60,47,19,12,0,262,247,2,96,17,116,152,56,74,0,1,0,0,2,1,1,3,0,3,5,0,1,0,3,4,0,0,0,2,8,7,10,12,14,11,0,28,36,0,11,2,27,20,1,3
03/24/2022,244,1,5,44,67,62,32,12,16,7,4,0,130,110,4,33,16,17,112,20,46,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,0,2,3,0,1,0,2,2,0,0
12/11/2020,1670,28,106,235,380,311,266,225,136,79,38,0,863,805,2,651,62,316,360,64,217,0,0,0,0,2,7,9,10,0,11,17,0,9,1,10,6,2,0,2,5,9,8,21,17,32,12,0,51,55,0,36,2,37,25,5,1
01/02/2021,1114,21,55,126,277,209,191,146,87,51,27,0,591,521,2,465,37,159,313,54,86,0,1,0,1,1,3,6,9,0,4,17,0,7,3,5,6,0,0,0,6,4,6,9,12,11,7,0,21,34,0,14,3,25,9,3,1
12/13/2022,773,2,49,159,118,110,99,103,88,54,42,0,448,324,1,217,31,238,189,29,69,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,2,4,2,2,6,8,12,13,0,21,28,0,7,2,25,13,2,0
09/23/2021,368,5,26,81,85,74,47,30,29,15,7,0,192,174,2,76,10,99,122,22,39,0,0,1,1,1,1,0,1,0,3,2,0,1,0,4,0,0,0,0,3,2,6,3,6,4,2,0,13,13,0,6,1,14,4,1,0
09/27/2020,167,1,29,15,52,32,24,21,11,9,3,0,94,73,0,56,3,30,51,11,16,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,2,6,4,8,5,1,0,18,11,0,10,1,10,6,1,1
03/13/2023,303,0,,69,39,39,43,40,41,22,10,0,166,137,0,79,13,91,78,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
10/15/2021,315,1,15,88,60,61,31,28,27,10,10,0,152,161,2,62,12,66,112,27,36,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,1,3,1,5,0,6,9,0,2,0,9,4,0,0
06/27/2021,15,1,1,4,2,4,1,0,1,3,0,0,9,6,0,3,1,6,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
11/18/2020,2326,17,117,290,567,452,387,295,196,98,41,0,1182,1136,8,843,63,462,545,85,328,0,0,2,0,2,4,3,6,0,9,8,0,8,0,2,7,0,0,2,8,5,10,22,17,28,25,0,54,63,0,37,6,46,24,4,0
05/28/2020,521,22,70,41,110,90,98,69,60,27,26,0,262,255,4,242,10,131,66,10,62,0,0,0,1,5,1,4,11,0,11,11,0,10,0,7,5,0,0,4,2,10,7,9,15,8,15,0,34,36,0,31,2,23,12,0,2
09/10/2022,306,2,26,53,37,50,37,47,33,30,19,0,172,132,2,78,18,73,72,14,51,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,1,3,0,4,5,2,6,5,0,12,14,0,12,0,10,4,0,0
01/20/2021,787,12,45,107,212,155,116,91,59,31,16,0,397,390,0,261,34,166,208,35,83,0,0,1,0,1,4,4,2,0,8,4,0,2,1,6,3,0,0,0,3,7,10,10,8,4,3,0,23,22,0,12,0,20,11,1,1
02/28/2023,396,3,30,112,58,49,48,44,42,24,19,0,206,189,1,106,17,124,92,21,36,0,0,0,0,0,1,0,2,0,2,1,0,0,0,2,1,0,0,1,4,0,3,5,4,9,4,0,15,15,0,7,1,14,5,1,2
07/19/2020,100,2,22,14,27,23,9,14,6,6,1,0,53,46,1,27,2,35,27,3,6,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,1,2,5,5,3,2,1,0,13,9,0,1,0,18,3,0,0
06/12/2021,46,5,7,5,13,13,3,7,1,2,2,0,18,28,0,11,1,13,11,2,8,0,0,0,0,1,1,2,1,0,5,0,0,2,0,0,2,1,0,0,0,1,3,1,0,0,2,0,3,4,0,3,0,4,0,0,0
03/13/2022,82,1,9,9,17,25,15,5,7,1,3,0,48,34,0,12,5,9,35,4,17,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2,1,0,1,2,2,0,5,4,0,6,0,3,0,0,0
03/26/2021,599,6,27,75,216,133,68,56,34,6,11,0,289,310,0,168,30,105,224,23,49,0,0,0,0,2,2,0,2,0,4,2,0,0,1,4,1,0,0,0,3,0,4,8,3,5,4,0,11,16,0,5,0,17,5,0,0
07/21/2022,969,0,46,126,175,178,125,153,106,62,44,0,550,419,0,230,63,277,219,51,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,8,8,8,7,0,22,24,0,13,1,19,11,1,1
08/15/2020,221,5,21,18,65,41,30,34,20,11,2,0,106,113,2,80,6,56,62,6,11,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,1,4,2,0,5,3,5,1,0,10,11,0,7,0,10,3,1,0
05/30/2021,52,7,6,7,15,11,6,6,7,0,0,0,23,29,0,18,0,18,9,1,6,0,0,0,0,1,1,3,2,0,3,4,0,1,0,5,1,0,0,0,0,0,2,0,4,0,0,0,5,1,0,0,0,5,1,0,0
05/09/2022,1612,0,33,427,285,295,247,180,109,45,24,0,905,697,10,300,139,314,536,91,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,1,3,5,2,8,0,22,11,0,5,2,11,15,0,0
06/12/2022,525,2,20,91,98,119,74,65,43,21,14,0,270,252,3,109,45,108,160,27,76,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,0,0,1,3,4,0,1,4,2,5,0,11,9,0,2,1,7,9,1,0
01/03/2021,659,20,59,74,183,132,82,77,62,31,18,0,332,326,1,164,38,125,233,25,74,0,0,0,1,0,4,7,8,0,10,10,0,9,2,5,4,0,0,1,2,2,9,8,10,14,13,0,29,30,0,16,4,22,16,1,0
08/10/2021,531,4,32,65,157,140,74,41,25,18,11,0,291,238,2,127,25,110,178,21,70,0,0,0,0,1,1,1,1,0,0,4,0,0,0,4,0,0,0,2,1,4,7,7,4,3,4,0,17,15,0,6,1,18,5,2,0
08/13/2021,627,3,32,97,173,154,80,58,39,16,10,0,274,353,0,136,18,150,231,13,79,0,0,0,0,0,1,2,0,0,2,1,0,0,0,3,0,0,0,0,4,5,3,5,7,4,4,0,17,15,0,6,0,19,6,1,0
05/15/2022,727,1,25,132,133,157,104,84,60,33,24,0,419,305,3,132,61,103,276,49,106,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,3,2,4,1,6,7,0,13,12,0,5,2,6,11,0,1
06/11/2022,530,1,27,72,102,113,86,68,44,32,13,0,318,211,1,108,43,129,138,25,87,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,4,1,1,5,4,5,6,0,12,15,0,4,2,14,7,0,0
10/17/2022,465,2,29,90,77,67,59,56,57,39,20,0,261,204,0,127,30,122,120,17,49,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,2,1,1,5,8,6,6,0,17,12,0,4,1,13,11,0,0
07/04/2021,18,1,2,6,2,6,1,0,0,2,1,0,10,8,0,3,2,6,6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
08/23/2020,130,1,25,10,43,17,23,15,12,8,2,0,71,59,0,40,3,29,45,5,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,2,4,5,3,4,2,0,10,15,0,11,0,6,6,2,0
07/23/2021,243,3,11,42,60,67,29,19,14,8,4,0,134,109,0,50,6,72,75,7,33,0,0,0,0,0,2,1,0,0,1,2,0,0,0,3,0,0,0,0,3,1,2,2,1,2,0,0,8,3,0,3,0,5,1,1,1
07/11/2020,154,2,19,8,68,23,22,13,12,8,0,0,79,75,0,37,4,46,39,10,18,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,7,1,2,1,3,4,1,0,8,11,0,4,1,13,1,0,0
12/28/2022,504,1,52,48,68,78,78,71,64,55,42,0,281,221,2,114,21,161,135,24,49,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,3,2,6,9,7,15,5,0,29,23,0,9,2,20,15,2,4
03/22/2021,547,1,32,58,166,114,82,77,33,13,4,0,273,273,1,139,31,130,189,13,45,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,6,4,6,7,2,3,0,14,18,0,6,3,16,6,1,0
02/27/2022,93,7,7,19,18,18,11,11,9,5,2,0,47,46,0,16,11,12,36,3,15,0,0,0,0,0,1,1,5,0,1,6,0,1,1,2,2,1,0,0,3,0,0,1,0,1,2,0,6,1,0,2,0,3,2,0,0
10/06/2021,374,5,26,87,87,76,42,36,29,10,7,0,184,190,0,67,13,103,125,19,47,0,0,0,1,1,2,0,1,0,1,4,0,4,0,1,0,0,0,0,2,2,6,3,3,7,3,0,14,12,0,3,1,17,4,0,1
08/26/2022,550,2,31,104,93,74,83,69,72,31,24,0,331,215,4,134,34,164,105,31,82,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,2,2,2,6,7,6,6,0,13,18,0,5,1,17,5,2,1
03/26/2022,197,1,6,28,50,46,31,21,11,6,4,0,92,92,13,35,16,12,82,9,43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,3,0,5,1,0,1,0,5,0,0,0
08/07/2021,318,2,21,46,79,81,42,35,21,10,4,0,163,155,0,76,20,75,103,10,34,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,2,0,4,4,4,3,3,0,10,11,0,6,0,7,8,0,0
12/15/2021,3590,10,65,628,1193,872,423,253,128,62,31,0,1960,1621,9,499,127,990,1069,236,669,0,0,0,1,1,1,3,4,0,6,4,0,2,0,2,6,0,0,2,4,11,6,12,11,9,10,0,29,36,0,10,2,29,20,4,0
07/19/2022,1001,4,50,139,196,197,148,126,94,69,32,0,580,418,3,224,62,272,242,43,158,0,0,0,0,0,0,0,4,0,1,3,0,0,0,3,1,0,0,2,5,6,5,5,5,11,11,0,27,23,0,7,0,19,23,1,0
12/21/2021,6920,9,145,899,2091,1771,972,632,365,118,71,1,3785,3110,25,988,229,1886,2032,559,1226,0,0,0,1,1,1,3,3,0,3,6,0,2,0,5,2,0,0,11,13,17,19,23,24,23,15,0,73,72,0,28,1,77,31,6,2
02/02/2021,647,6,38,68,159,124,103,84,64,26,19,0,316,331,0,199,27,144,188,25,64,0,0,0,0,0,3,1,2,0,3,3,0,1,0,3,2,0,0,1,3,1,7,8,7,5,6,0,22,16,0,12,2,16,5,0,3
09/15/2020,352,1,21,54,100,67,47,42,26,13,3,0,189,163,0,168,9,50,96,10,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,4,5,3,4,3,0,10,11,0,8,1,7,5,0,0
09/27/2021,475,6,33,121,101,90,47,56,40,10,10,0,249,225,1,101,13,142,156,21,42,0,0,1,1,0,2,1,1,0,1,5,0,1,1,3,1,0,0,0,2,5,2,10,9,3,2,0,17,16,0,3,3,16,9,1,1
04/17/2020,774,43,148,16,128,126,142,144,118,49,51,0,387,387,0,322,27,215,125,39,46,0,0,1,2,5,7,13,15,0,14,29,0,11,2,19,11,0,0,3,6,12,18,33,30,27,19,0,66,82,0,55,7,57,20,6,3
08/05/2021,479,2,31,76,149,130,56,34,21,8,5,0,233,244,2,91,16,108,165,21,78,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0,0,3,5,1,7,7,3,5,0,16,15,0,6,1,18,5,1,0
11/08/2022,413,1,46,57,71,71,51,55,47,38,22,1,232,179,2,96,20,114,96,19,68,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,2,7,4,6,7,16,0,25,21,0,6,1,22,17,0,0
02/10/2021,366,11,40,51,101,69,42,44,28,18,13,0,172,194,0,85,13,96,118,17,37,0,0,0,1,1,2,2,5,0,5,6,0,3,1,4,3,0,0,1,5,5,4,8,9,2,6,0,15,25,0,15,1,12,11,1,0
12/16/2020,1384,25,81,175,323,252,219,204,109,55,47,0,686,690,8,526,50,302,308,53,145,0,0,2,1,0,6,7,9,0,13,12,0,4,1,10,10,0,0,2,6,3,9,19,15,15,12,0,41,40,0,25,2,33,17,3,1
06/15/2022,740,1,44,81,159,162,112,87,81,41,17,0,425,309,6,129,59,181,209,33,129,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,9,4,5,8,8,5,0,21,23,0,5,1,18,17,3,0
10/26/2021,343,3,11,91,62,70,45,39,24,8,4,0,180,162,1,70,11,91,105,23,43,0,0,0,0,1,0,0,2,0,2,1,0,0,1,2,0,0,0,1,2,2,0,2,2,1,1,0,7,4,0,0,0,5,5,0,1
12/05/2020,1203,13,83,165,270,216,170,185,118,51,28,0,610,592,1,484,49,220,280,36,134,0,0,2,1,2,1,2,5,0,5,8,0,7,0,4,2,0,0,4,5,8,5,12,24,13,12,0,41,42,0,25,5,31,17,4,1
03/29/2022,363,0,10,76,103,84,42,34,11,9,4,0,202,157,4,48,34,33,156,18,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,2,1,0,6,4,0,3,0,1,5,0,1
07/26/2020,96,6,18,7,24,25,10,16,8,4,2,0,48,48,0,32,4,21,27,3,9,0,0,0,0,1,1,1,3,0,3,3,0,1,0,3,2,0,0,0,1,2,2,5,5,1,2,0,10,8,0,5,0,9,3,1,0
04/08/2021,860,6,54,146,243,191,124,86,52,11,7,0,456,404,0,253,36,236,248,27,60,0,0,0,2,0,0,2,2,0,3,3,0,1,0,3,1,0,1,0,2,6,6,16,18,4,2,0,26,28,0,11,1,32,7,1,2
10/29/2022,230,1,23,30,34,40,29,34,33,16,14,0,132,97,1,46,14,82,43,17,28,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,3,1,3,4,3,3,1,8,15,0,3,1,10,9,0,0
04/15/2022,551,1,15,60,122,151,93,63,34,21,7,0,316,231,4,63,56,68,231,40,93,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3,1,0,4,0,4,2,0,7,8,0,2,1,6,6,0,0
06/07/2022,1101,1,25,255,199,219,140,131,83,45,29,0,633,461,7,262,72,242,328,40,157,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,4,2,3,3,3,6,0,16,9,0,4,0,11,9,1,0
07/12/2021,103,0,5,11,33,23,13,10,6,6,1,0,51,52,0,18,4,39,30,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,3,2,0,1,0,4,0,0,0
09/11/2021,321,6,26,65,71,71,48,29,16,15,6,0,182,138,1,84,9,73,94,23,38,0,0,0,0,1,1,1,3,0,2,4,0,2,0,3,1,0,0,0,3,4,7,3,4,2,3,0,13,13,0,6,0,14,5,0,1
01/18/2023,462,1,32,153,62,56,53,55,35,30,18,0,251,210,1,154,14,152,91,18,33,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,1,1,7,4,10,6,0,15,17,0,5,2,20,3,0,2
02/08/2022,570,9,29,166,118,84,70,52,42,24,14,0,294,273,3,112,41,91,200,33,93,0,1,0,0,1,4,0,3,0,5,4,0,3,0,5,1,0,0,1,1,4,2,6,2,5,8,0,11,18,0,7,4,10,8,0,0
06/13/2022,913,0,34,95,182,214,140,110,98,43,31,0,514,396,3,215,74,204,222,47,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,4,4,4,10,0,24,10,0,8,1,13,8,2,2
12/03/2020,2070,30,114,235,520,406,317,308,157,80,47,0,1095,972,3,849,72,396,432,75,246,0,0,0,1,3,6,10,10,0,12,18,0,7,3,13,7,0,0,1,3,10,14,20,24,20,22,0,48,66,0,36,4,45,25,3,1
02/21/2021,158,9,18,16,42,31,27,23,10,5,4,0,86,72,0,28,3,36,65,9,17,0,1,0,1,0,1,3,3,0,4,5,0,3,0,1,3,2,0,0,5,2,2,4,1,1,3,0,10,8,0,2,1,7,7,0,1
03/31/2021,717,4,41,85,226,160,89,92,33,18,14,0,362,354,1,150,38,162,277,22,68,0,0,0,0,1,1,0,2,0,1,3,0,1,0,2,1,0,0,0,3,1,10,12,9,3,3,0,23,18,0,9,1,23,7,1,0
08/19/2022,600,4,40,69,109,127,73,78,84,35,25,0,360,237,3,170,26,137,154,29,84,0,0,0,0,1,1,0,2,0,2,2,0,1,1,0,2,0,0,4,3,7,2,5,5,5,9,0,22,18,0,10,0,12,16,2,0
06/28/2021,50,2,7,12,9,9,9,5,3,3,0,0,18,32,0,12,2,20,8,2,6,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,4,1,0,4,3,0,3,0,4,0,0,0
11/24/2022,161,1,28,15,22,26,26,20,19,17,16,0,89,72,0,40,7,71,28,3,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,3,3,1,2,6,3,8,0,15,13,0,5,1,16,5,0,1
06/14/2020,92,12,28,6,22,18,20,14,6,2,4,0,44,48,0,36,1,28,8,5,14,0,0,0,1,1,3,2,5,0,6,6,0,5,0,3,4,0,0,2,4,1,6,3,6,3,3,0,12,16,0,12,1,11,1,2,1
05/18/2021,286,5,30,69,61,47,37,37,19,8,8,0,163,123,0,61,5,128,53,3,36,0,0,0,0,1,1,3,0,0,3,2,0,3,0,1,1,0,0,2,2,4,4,6,5,4,3,0,17,13,0,4,0,22,3,1,0
05/25/2022,1338,0,31,300,280,250,178,143,104,45,38,0,769,564,5,270,129,284,396,72,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,4,5,10,0,17,14,0,4,1,13,13,0,0
10/10/2021,173,6,22,31,38,32,22,21,15,9,5,0,98,74,1,37,14,37,58,11,16,0,0,0,2,1,1,2,0,0,3,3,0,2,0,1,3,0,0,0,1,4,2,5,5,3,2,0,15,7,0,6,0,11,5,0,0
04/25/2021,275,11,44,40,70,71,28,36,21,8,1,0,141,134,0,61,12,117,53,12,20,0,0,0,2,3,3,3,0,0,4,7,0,3,0,7,1,0,0,2,5,10,3,9,9,5,1,0,25,19,0,8,1,22,7,2,4
02/10/2023,369,0,21,94,51,62,43,28,32,31,28,0,204,164,1,119,12,117,71,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,3,6,5,0,9,12,0,5,1,9,4,2,0
08/26/2021,592,3,39,99,138,134,77,54,38,35,17,0,317,275,0,117,28,182,163,17,85,0,0,0,0,1,0,0,2,0,2,1,0,1,0,2,0,0,0,1,0,5,5,5,10,7,6,0,23,16,0,6,1,17,12,1,2
01/11/2022,4442,28,215,1012,815,758,603,535,408,196,115,0,2436,1999,7,1136,239,821,1061,326,859,0,0,0,3,4,2,5,14,0,10,18,0,4,2,16,5,0,1,7,12,14,22,31,40,44,45,0,107,108,0,42,7,111,45,8,2
12/22/2020,1338,17,72,178,301,250,195,163,151,64,36,0,693,644,1,511,60,233,321,62,151,0,0,0,1,2,2,8,4,0,7,10,0,2,3,8,4,0,0,0,4,7,7,11,14,14,15,0,38,34,0,20,1,35,12,4,0
04/20/2022,708,0,12,96,188,172,100,74,36,26,16,0,415,289,4,111,64,94,284,39,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,4,0,7,5,0,0,1,5,5,0,1
12/26/2021,4455,11,179,628,1203,1014,702,457,263,123,65,0,2419,2016,20,904,152,1154,1193,429,623,0,0,0,1,0,5,4,1,0,5,6,0,2,0,7,2,0,0,10,18,17,18,29,34,30,23,0,102,77,0,28,4,103,34,7,3
07/02/2020,256,6,25,25,80,44,39,28,22,10,8,0,144,112,0,88,9,66,60,6,27,0,0,0,0,1,1,1,3,0,3,3,0,3,0,2,1,0,0,1,5,4,4,2,4,1,4,0,12,13,0,7,0,9,6,2,1
10/13/2021,361,4,20,83,87,65,47,34,30,9,6,0,184,177,0,54,24,88,131,31,33,0,0,1,0,1,1,0,1,0,3,1,0,1,0,3,0,0,0,1,4,5,1,4,3,1,1,0,17,3,0,3,2,10,4,1,0
07/30/2020,339,3,17,49,78,79,48,49,25,7,4,0,175,164,0,161,13,78,62,5,20,0,0,0,1,0,0,1,1,0,2,1,0,2,0,1,0,0,0,2,1,2,2,3,1,4,2,0,11,6,0,7,1,6,3,0,0
04/15/2020,630,31,148,21,91,107,111,124,86,46,44,0,306,324,0,260,26,193,76,35,40,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0,1,6,13,17,32,35,30,14,0,66,82,0,52,1,70,23,2,0
11/07/2022,584,0,29,131,101,92,71,74,51,37,27,0,335,247,2,152,35,176,132,20,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,3,5,2,9,0,18,11,0,4,1,15,8,0,1
08/10/2020,376,1,28,41,107,68,63,49,24,19,5,0,184,191,1,193,11,60,81,13,18,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,5,1,3,4,4,6,3,0,14,14,0,4,2,6,13,1,2
11/07/2020,1568,14,112,181,392,337,265,187,113,54,39,0,824,744,0,637,49,228,419,59,176,0,0,1,1,1,1,4,6,0,9,5,0,3,0,4,7,0,0,1,7,7,16,23,23,12,23,0,59,53,0,34,5,39,26,5,3
02/15/2022,358,4,22,94,80,70,29,34,25,12,14,0,206,152,0,69,25,54,120,20,70,0,0,0,0,0,1,1,2,0,0,4,0,0,0,1,3,0,0,1,1,1,0,2,6,3,8,0,11,11,0,9,0,2,10,1,0
02/07/2023,452,0,25,109,73,72,43,60,40,29,26,0,270,181,1,146,20,122,116,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,6,7,4,0,16,9,0,7,1,5,11,0,1
03/03/2022,161,2,12,33,24,34,26,16,14,9,5,0,84,74,3,21,15,31,57,6,31,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,2,1,0,1,2,2,4,0,6,6,0,0,2,4,5,0,1
